# NOTES:
#
# This is a trace of Super Mario Bros from the FCEUX emulator.
#
# It's not a complete trace; I've snipped a bunch of repetitive stuff (but not all of it).
#
# More importantly, the trace goes _just_ up until the point where the program
# writes the first data into the PPU's palette memory space.
#
# For some reason my emulator never hits this area, and it's been a real pain
# to figure out what's going wrong.
#
# This trace uses indentation based on the stack pointer to help show you
# subroutine structure, which is really helpful.
#
# Figuring this out requires ridiculous amounts of focus and it's very easy
# to lose my place after each debugging session, so I'm writing this to help
# me pick back up the next time.
#
# I'm going to mark points in the trace where I _last_ checked that we've hit
# with the text ===MARK=== after the trace line.
#
# Other lines that are interesting will be marked with ===NOTE===


  $8000: 78       SEIA:00 X:00 Y:00 S:FD P:nvubdIzc 
  $8001: D8       CLDA:00 X:00 Y:00 S:FD P:nvubdIzc 
  $8002: A9 10    LDA #$10A:00 X:00 Y:00 S:FD P:nvubdIzc 
  $8004: 8D 00 20 STA $2000 PPU_CTRL = #$00A:10 X:00 Y:00 S:FD P:nvubdIzc 
  $8007: A2 FF    LDX #$FFA:10 X:00 Y:00 S:FD P:nvubdIzc 
  $8009: 9A       TXSA:10 X:FF Y:00 S:FD P:NvubdIzc 
$800A: AD 02 20 LDA $2002 PPU_STATUS = #$10A:10 X:FF Y:00 S:FF P:NvubdIzc 
$800D: 10 FB    BPL $800AA:10 X:FF Y:00 S:FF P:nvubdIzc 
...last two repeat 8522 times...
$800A: AD 02 20 LDA $2002 PPU_STATUS = #$90A:10 X:FF Y:00 S:FF P:nvubdIzc 
$800D: 10 FB    BPL $800AA:90 X:FF Y:00 S:FF P:NvubdIzc 
$800F: AD 02 20 LDA $2002 PPU_STATUS = #$10A:90 X:FF Y:00 S:FF P:NvubdIzc 
$8012: 10 FB    BPL $800FA:10 X:FF Y:00 S:FF P:nvubdIzc 
$800F: AD 02 20 LDA $2002 PPU_STATUS = #$10A:10 X:FF Y:00 S:FF P:nvubdIzc 
$8012: 10 FB    BPL $800FA:10 X:FF Y:00 S:FF P:nvubdIzc 
...last two repeat 4252 times...
$800F: AD 02 20 LDA $2002 PPU_STATUS = #$90A:10 X:FF Y:00 S:FF P:nvubdIzc 
$8012: 10 FB    BPL $800FA:90 X:FF Y:00 S:FF P:NvubdIzc 
$8014: A0 FE    LDY #$FEA:90 X:FF Y:00 S:FF P:NvubdIzc 
$8016: A2 05    LDX #$05A:90 X:FF Y:FE S:FF P:NvubdIzc 
$8018: BD D7 07 LDA $07D7,X @ $07DC = #$FFA:90 X:05 Y:FE S:FF P:nvubdIzc 
$801B: C9 0A    CMP #$0AA:FF X:05 Y:FE S:FF P:NvubdIzc 
$801D: B0 0C    BCS $802BA:FF X:05 Y:FE S:FF P:NvubdIzC 
$802B: 20 CC 90 JSR $90CCA:FF X:05 Y:FE S:FF P:NvubdIzC 
  $90CC: A2 07    LDX #$07A:FF X:05 Y:FE S:FD P:NvubdIzC 
  $90CE: A9 00    LDA #$00A:FF X:07 Y:FE S:FD P:nvubdIzC 
  $90D0: 85 06    STA $06 = #$FFA:00 X:07 Y:FE S:FD P:nvubdIZC 
  $90D2: 86 07    STX $07 = #$FFA:00 X:07 Y:FE S:FD P:nvubdIZC 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:FE S:FD P:nvubdIZC 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:FE S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07FE = #$FFA:00 X:07 Y:FE S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:FE S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:FD S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:FD S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:FD S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:FD S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07FD = #$FFA:00 X:07 Y:FD S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:FD S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:FC S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:FC S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:FC S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:FC S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07FC = #$FFA:00 X:07 Y:FC S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:FC S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:FB S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:FB S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:FB S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:FB S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07FB = #$00A:00 X:07 Y:FB S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:FB S:FD P:nvubdIzC 
